"Attempt.ID","Location.ID","Latitude","Longitude","Subnational.Code","Substrate.Relationship","Substrate","Substrate.Other.Description","Height.m","Cavity.Entrance.Diameter.cm","Entrance.Orientation","Elevation.m","Habitat.1m","Habitat.100m","Location.Entry.Technique","Observer.ID","Species.Code","Species.Name","Year","Predator.Guard","Predator.Guard.Other","First.Lay.Date","First.Lay.Date.Estimated","Visited.During.Egg.Laying","Hatch.Date","Hatch.Date.Estimated","Fledge.Date","Fledge.Date.Estimated","Young.Fledged","Clutch.Size","Young.Total","Unhatched.Eggs","Outcome","Attempt.Entry.Technique"
"A1125633","L1138581",37.0494803,-88.6570914,"US-KY","in","busshr","",1.524,NA,"",NA,"human","human","latlong","obsr248347","amerob","American Robin",2011,"","","2011-04-08",NA,NA,"2011-04-18",NA,"",NA,0,4,3,1,"f",""
"A1126398","L1150145",39.018773,-77.07252,"US-MD","on","other","window sill",7.62,15.24,"w",86.9,"oth","human","latlong","obsr257611","amerob","American Robin",2011,"","","2011-04-30",NA,NA,"2011-05-08",NA,"2011-05-08",NA,0,1,0,1,"f",""
"A1127076","L1158700",38.891663,-77.293205,"US-VA","in","busshr","",1.524,NA,"e",NA,"human","human","geocode","obsr265954","amerob","American Robin",2011,"","","2011-04-27",NA,NA,"2011-05-08",NA,"2011-05-08",NA,0,4,1,3,"f",""
"A1127693","L1167952",39.6849594,-85.7395631,"US-IN","in","ltrbra","",2.8956,NA,"",NA,"human","human","map","obsr152066","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"n",""
"A1127820","L1169356",41.5896687,-72.8688145,"US-CT","in","busshr","",1.8288,NA,"",42.7,"human","human","geocode","obsr233007","amerob","American Robin",2011,"","","2011-04-26",NA,NA,"",NA,"",NA,0,4,0,4,"f",""
"A1126414","L1150258",38.6665445,-90.3149404,"US-MO","on","buildi","",4.572,NA,"",160.9,"human","human","geocode","obsr207310","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1126297","L1148840",39.4096036,-77.2612882,"US-MD","in","busshr","",0.3048,NA,"",NA,"oth","human","map","obsr262011","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,0,0,0,0,"f",""
"A1127151","L896206",42.382709,-88.086592,"US-IL","in","ltrbra","",2.7432,NA,"",245.1,"human","human","geocode","obsr169110","amerob","American Robin",2011,"","","2011-04-26",NA,NA,"2011-05-11",NA,"",NA,0,4,2,2,"f",""
"A1126786","L717361",39.9038648,-75.3077682,"US-PA","in","busshr","",1.8288,NA,"",NA,"human","human","geocode","obsr185875","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"f3",""
"A1128089","L1171966",41.4686342,-75.4694223,"US-PA","in","ltrbra","",1.6764,NA,"",NA,"human","for","map","obsr153355","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,0,0,0,0,"f",""
"A1125704","L1139341",43.075764,-77.648388,"US-NY","under","buildi","",NA,NA,"",NA,"human","human","geocode","obsr167632","amerob","American Robin",2011,"","","2011-04-14",NA,NA,"2011-04-25",NA,"2011-05-08",NA,0,3,1,1,"f",""
"A1129957","L1191411",39.7393782,-84.0461086,"US-OH","in","busshr","",1.2192,NA,"e",266.1,"human","human","geocode","obsr134262","amerob","American Robin",2011,"","","2011-06-10",NA,NA,"2011-06-26",NA,"",NA,0,3,3,0,"f",""
"A1130265","L428808",40.5308707,-75.575825,"US-PA","in","nesbox","",1.2192,3.81,"w",121.9,"human","human","geocode","obsr128793","amerob","American Robin",2011,"","","2011-06-01",1,NA,"",NA,"",NA,3,3,3,1,"s1",""
"A1131616","L1226046",42.2143331,-84.5490324,"US-MI","in","ltrbra","",6,NA,"",NA,"human","human","map","obsr48831","amerob","American Robin",2011,"","","",NA,NA,"2011-07-13",NA,"",NA,0,4,1,3,"f",""
"A1128563","L1176187",42.207408,-72.631651,"US-MA","on","buildi","",NA,NA,"",NA,"human","human","geocode","obsr250903","amerob","American Robin",2011,"","","2011-05-01",NA,NA,"2011-05-06",NA,"",NA,0,3,3,0,"f",""
"A1129961","L1191416",39.7391533,-84.0465083,"US-OH","in","busshr","",1.2192,NA,"n",266.1,"human","human","geocode","obsr134262","amerob","American Robin",2011,"","","2011-06-12",NA,NA,"2011-06-26",NA,"",NA,0,4,4,0,"f",""
